Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
987950	1493780400	950	1436400	16300.620182945788	16951787.062885568	24646537.71661403	25631102039.08298	987950	1493780400	950	1436400	16300.620182945788	16951787.062885568	24646537.71661403	25631102039.08298	voice
988832	1495113984	882	1333584	9542.762987440123	10698627.449429015	14428657.637009464	16176324703.53667	988832	1495113984	882	1333584	9542.762987440123	10698627.449429015	14428657.637009464	16176324703.53667	voice
989777	1496542824	945	1428840	10499.898752553041	10997416.17736052	15875846.913860198	16628093260.169106	989777	1496542824	945	1428840	10499.898752553041	10997416.17736052	15875846.913860198	16628093260.169106	voice
990706	1497947472	929	1404648	14632.465173568864	15604382.176798401	22124287.342436124	23593825851.319183	990706	1497947472	929	1404648	14632.465173568864	15604382.176798401	22124287.342436124	23593825851.319183	voice
991685	1499427720	979	1480248	12584.158847199365	12747213.040229727	19027248.17696544	19273786116.827347	991685	1499427720	979	1480248	12584.158847199365	12747213.040229727	19027248.17696544	19273786116.827347	voice
992577	1500776424	892	1348704	9740.228497045116	10838482.93824165	14727225.487532217	16387786202.621374	992577	1500776424	892	1348704	9740.228497045116	10838482.93824165	14727225.487532217	16387786202.621374	voice
993532	1502220384	955	1443960	9409.151133755688	9788788.213845609	14226636.5142386	14800647779.33456	993532	1502220384	955	1443960	9409.151133755688	9788788.213845609	14226636.5142386	14800647779.33456	voice
994398	1503529776	866	1309392	9608.130504363284	11032685.631960554	14527493.322597284	16681420675.524359	994398	1503529776	866	1309392	9608.130504363284	11032685.631960554	14527493.322597284	16681420675.524359	voice
995306	1504902672	908	1372896	8817.418074138557	9665230.301430123	13331936.128097499	14613828215.762346	995306	1504902672	908	1372896	8817.418074138557	9665230.301430123	13331936.128097499	14613828215.762346	voice
996278	1506372336	972	1469664	8748.70919063683	8967228.90435111	13228048.296242885	13558450103.37888	996278	1506372336	972	1469664	8748.70919063683	8967228.90435111	13228048.296242885	13558450103.37888	voice
997187	1507746744	909	1374408	8516.990624350774	9343269.889685892	12877689.824018372	14127024073.205069	997187	1507746744	909	1374408	8516.990624350774	9343269.889685892	12877689.824018372	14127024073.205069	voice
998088	1509109056	901	1362312	7917.3291991049955	8770467.553469818	11971001.749046752	13260946940.846367	998088	1509109056	901	1362312	7917.3291991049955	8770467.553469818	11971001.749046752	13260946940.846367	voice
999060	1510578720	972	1469664	10503.67135315623	10796088.376629902	15881551.085972222	16323685625.46441	999060	1510578720	972	1469664	10503.67135315623	10796088.376629902	15881551.085972222	16323685625.46441	voice
999977	1511965224	917	1386504	10166.410539170336	11086343.19708608	15371612.735225549	16762550913.994154	999977	1511965224	917	1386504	10166.410539170336	11086343.19708608	15371612.735225549	16762550913.994154	voice
1000887	1513341144	910	1375920	8527.617536859085	9379320.366609098	12893757.715730937	14181532394.312956	1000887	1513341144	910	1375920	8527.617536859085	9379320.366609098	12893757.715730937	14181532394.312956	voice
